Drink_ID,Drink_Name,Drink_Tags,Category,Alcoholic,Glass_Type,Instructions,CreativeCommons,Date_Modified
17222,A1,,Cocktail,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",No,2017-09-07 21:42:09
13501,ABC,,Shot,Alcoholic,Shot glass,Layered in a shot glass.,No,2016-08-31 19:32:08
17225,Ace,,Cocktail,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,No,2017-09-07 22:05:06
14610,ACID,,Shot,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,No,2016-11-15 11:28:37
17837,Adam,"Alcoholic,Holiday",Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Yes,2016-09-02 11:29:29
13938,AT&T,,Ordinary Drink,Alcoholic,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",No,2017-04-24 22:00:19
17833,A. J.,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Yes,2016-09-02 11:16:58
15266,Avalon,,Ordinary Drink,Alcoholic,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",No,2017-04-24 22:22:11
15106,Apello,,Other / Unknown,Non alcoholic,Collins Glass,Stirr. Grnish with maraschino cherry.,No,2016-07-18 22:13:35
17839,Affair,,Ordinary Drink,Alcoholic,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Yes,2016-09-01 10:05:34
17835,Abilene,,Ordinary Drink,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Yes,2016-04-29 09:44:25
11023,Almeria,,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",No,2017-01-02 20:16:21
17228,Addison,,Cocktail,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,No,2017-09-07 22:38:20
11046,Applecar,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",No,2017-09-02 23:02:44
17836,Acapulco,,Ordinary Drink,Alcoholic,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Yes,2016-09-02 11:26:16
